,st_mass,st_lum
30607,0.83,-0.402
30639,1.05,0.137
30666,0.86,-0.516
30688,1.29,0.346
30707,0.53,-1.349
30718,0.88,-0.352
30755,1.12,0.195
30764,1.29,0.524
30808,1.1,0.053
30819,0.61,-1.18
30822,0.62,-1.064
30823,0.58,-1.194
30852,0.97,-0.135
30874,0.72,-0.811
30928,1.03,0.406
30932,1.22,0.354
30939,1.11,0.819
30976,1.16,0.566
30994,1.2,0.203
31044,1.15,0.644
31065,0.92,-0.337
31082,0.95,-0.331
31104,0.99,0.048
31121,0.96,-0.039
31134,1.14,0.283
31146,0.93,-0.202
31158,1.0,0.262
31177,1.21,0.435
31178,1.24,0.462
31210,0.83,-0.509
31212,0.79,-0.579
31234,1.05,0.269
31245,0.78,-0.404
31252,0.94,-0.169
31297,0.68,-0.805
31313,1.0,0.028
31351,0.87,-0.411
31359,1.07,0.111
31378,1.29,0.727
31390,0.15,-2.448
31392,0.14,-2.511
31402,0.14,-2.52
31406,0.13,-2.62
31423,0.79,-0.398
31427,0.9,-0.341
31434,1.15,0.24
31446,1.07,0.247
31450,0.99,-0.031
31461,1.07,-0.018
31465,1.01,-0.15
31468,0.93,-0.054
31480,0.93,-0.323
31482,0.89,-0.337
31496,0.91,-0.089
31502,0.98,-0.148
31512,1.06,0.245
31520,0.96,0.29
31529,0.83,-0.46
31534,0.87,-0.39
31551,1.12,0.349
31557,1.23,0.326
31570,1.09,0.312
31590,1.11,0.498
31626,1.46,0.88
31630,1.08,0.782
31640,1.2,0.33
31648,1.03,0.305
31665,1.54,1.129
31667,1.11,0.798
31671,0.71,-0.731
31674,0.73,-0.701
31693,0.71,-0.762
31699,0.54,-1.357
31706,0.63,-1.113
31707,0.96,-0.139
31710,0.88,-0.236
31730,1.03,0.347
31737,0.57,-1.102
31739,0.64,-1.042
31756,0.58,-1.094
31757,0.57,-1.051
31770,0.61,-0.932
31771,0.72,-0.826
31773,0.74,-0.664
31777,0.75,-0.566
31809,0.84,-0.425
31816,0.28,-2.1
31830,0.16,-2.469
31836,0.33,-1.939
31847,0.19,-2.248
31853,0.27,-2.0
31869,0.95,-0.19
31900,0.57,-1.276
31908,0.6,-1.152
31941,1.19,0.554
31949,1.02,0.084
31966,0.97,-0.207
31984,1.0,0.053
32001,0.9,-0.255
32005,0.9,-0.255
32006,0.85,-0.378
32017,1.05,0.246
32035,1.82,0.926
32045,1.0,0.079
32063,1.06,0.484
32080,1.28,0.338
32112,1.02,0.323
32124,0.95,-0.286
32136,1.05,-0.076
32138,0.99,-0.116
32146,1.41,0.71
32165,0.78,-0.513
32170,1.0,0.525
32187,1.02,0.417
32195,0.78,-0.464
32253,0.89,-0.409
32279,0.87,-0.289
32295,1.25,0.478
32305,1.0,0.207
32313,0.76,-0.539
32335,1.16,0.439
32348,0.99,-0.135
32360,1.04,0.079
32377,0.95,-0.173
32399,0.83,-0.518
32417,0.62,-1.131
32425,0.63,-0.984
32459,1.11,0.365
32477,0.96,-0.057
32498,1.13,0.438
32510,0.94,-0.237
32527,0.87,-0.416
32555,1.0,0.172
32561,0.86,-0.279
32575,1.23,0.652
32576,1.37,0.669
32599,1.18,0.536
32614,1.01,0.116
32638,1.15,0.216
32651,1.1,0.349
32663,0.3,-1.891
32667,0.41,-1.577
32691,0.62,-1.079
32703,1.16,0.288
32712,1.11,0.326
32724,1.19,0.289
32736,1.1,0.233
32753,1.03,-0.142
32783,1.0,0.332
32799,1.12,0.498
32812,1.16,0.216
32830,1.06,0.079
32846,0.49,-1.54
32850,1.11,0.353
32868,1.43,0.798
32885,0.99,-0.019
32894,0.33,-1.788
32904,1.09,-0.04
32922,0.9,-0.335
32937,0.64,-0.928
32943,0.66,-0.996
32987,1.41,0.671
33001,1.27,0.655
33022,0.94,-0.28
33029,1.05,0.439
33045,0.96,0.525
33070,1.02,0.351
33085,1.23,0.323
33099,0.99,0.158
33137,1.0,0.036
33163,1.01,-0.132
33179,0.77,-0.552
33195,0.84,-0.458
33205,0.73,-0.62
33228,1.08,0.147
33235,1.11,0.341
33253,0.96,-0.214
33264,1.01,-0.039
33271,0.96,-0.179
33274,0.12,-2.595
33299,1.01,-0.06
33313,0.52,-1.296
33332,0.56,-1.301
33347,1.04,0.207
33362,1.14,0.755
33366,0.93,-0.122
33388,0.75,-0.643
33399,1.21,0.529
33413,1.06,0.107
33420,1.01,0.271
33437,0.75,-0.555
33443,0.93,-0.201
33458,0.9,-0.306
33490,0.69,-0.763
33534,0.86,-0.384
33547,0.66,-0.895
33567,1.04,0.063
33586,0.86,-0.261
33591,0.89,-0.271
33598,0.92,-0.118
33617,1.07,0.264
33631,0.99,-0.048
33645,1.05,0.728
33650,0.88,-0.384
33672,0.95,-0.121
33703,0.38,-1.717
33705,0.45,-1.519
33708,0.4,-1.618
33718,0.48,-1.488
33719,0.27,-2.022
33720,0.94,-0.18
33744,0.99,0.016
33764,0.84,-0.444
33774,0.99,-0.064
33789,0.8,-0.524
33808,0.82,-0.409
33819,0.54,-1.33
33833,1.01,-0.107
33861,0.88,-0.342
33877,0.93,-0.296
33888,0.95,-0.223
33896,0.86,-0.434
33910,1.0,0.029
33919,0.94,-0.214
33933,0.98,-0.084
33948,0.91,-0.211
33968,0.83,-0.555
33983,0.9,-0.337
33989,0.97,-0.311
34031,1.02,-0.004
34044,0.67,-0.896
34055,1.01,-0.169
34063,0.86,-0.414
34082,0.92,-0.101
34087,1.18,0.52
34103,0.96,-0.163
34115,0.9,-0.141
34129,0.96,-0.238
34146,1.03,0.207
34154,0.9,-0.347
34174,1.12,0.324
34191,1.04,0.477
34212,0.99,-0.078
34219,1.08,0.185
34238,1.07,0.079
34245,0.91,-0.193
34261,0.87,-0.348
34285,1.15,0.314
34292,1.0,-0.033
34309,0.9,-0.258
34328,0.83,-0.522
34338,1.21,0.299
34349,0.99,0.189
34359,1.07,0.369
34388,0.89,-0.339
34404,0.86,-0.428
34425,0.98,0.326
34434,1.05,0.392
34454,1.04,0.092
34481,0.95,-0.248
34490,1.09,0.254
34510,0.92,-0.382
34528,0.99,0.041
34538,1.01,0.065
34554,0.65,-0.879
34560,0.67,-0.971
34568,0.99,-0.11
34589,1.02,0.383
34598,0.97,0.305
34620,1.0,-0.057
34622,0.9,-0.418
34645,0.98,-0.111
34686,0.54,-1.305
34696,1.04,0.173
34728,1.04,-0.04
34743,0.79,-0.578
34745,0.76,-0.591
34750,0.69,-0.678
34776,1.16,0.341
34810,0.64,-0.862
34820,0.91,-0.318
34826,1.18,0.291
34849,1.13,0.406
34876,0.99,-0.042
34878,1.12,0.385
34890,0.92,-0.283
34912,0.98,-0.157
34914,0.96,-0.14
34925,1.04,0.302
34938,1.2,0.389
34985,1.19,0.421
34995,1.23,0.735
35021,1.15,0.382
35032,0.92,0.532
35050,1.04,0.483
35058,0.99,-0.024
35080,0.96,0.39
35086,1.23,0.398
35114,1.29,0.71
35128,1.23,0.451
35140,0.95,-0.259
35166,1.07,0.418
35171,1.0,-0.053
35188,1.09,-0.044
35200,1.17,0.467
35248,0.94,-0.253
35262,0.92,-0.27
35284,0.97,0.119
35287,1.05,0.462
35302,1.22,0.324
35320,0.87,-0.299
35342,1.02,0.279
35357,0.63,-0.899
35378,0.77,-0.526
35382,1.04,0.051
35399,0.76,-0.626
35408,0.69,-0.814
35425,0.79,-0.356
35447,0.85,-0.313
35468,0.99,-0.111
35474,0.77,-0.595
35491,1.04,0.182
35510,0.9,-0.396
35532,1.02,0.358
35546,0.87,-0.376
35562,0.94,-0.1
35576,0.94,-0.081
35588,0.97,-0.112
35596,0.89,-0.344
35612,0.65,-0.907
35618,0.76,-0.507
35646,0.56,-1.295
35655,1.0,0.39
35662,0.91,0.449
35678,0.9,-0.348
35704,1.06,0.231
35709,1.08,0.194
35713,0.73,-0.678
35725,0.99,0.197
35735,0.81,-0.457
35746,0.95,0.48
35765,0.97,-0.041
35778,0.95,0.209
35791,0.96,-0.051
35805,1.02,0.108
35814,0.77,-0.567
35822,0.95,-0.024
35837,0.92,-0.153
35847,0.91,-0.021
35856,0.81,-0.097
35863,1.03,0.192
35874,0.97,0.141
35892,0.56,-1.305
35903,0.92,-0.233
35914,0.78,-0.427
35927,0.98,-0.078
35937,0.8,-0.159
35950,1.02,0.151
35961,0.98,-0.025
35973,0.98,0.388
35988,1.35,0.618
35989,1.1,0.696
36008,0.97,0.23
36029,0.9,-0.276
36031,0.88,-0.159
36044,1.05,0.067
36066,0.95,0.036
36077,0.55,-1.319
36080,0.53,-1.385
36088,0.86,-0.501
36100,1.0,0.037
36116,0.86,-0.481
36127,1.01,0.265
36142,0.8,-0.499
36160,0.83,-0.484
36176,1.05,0.085
36188,1.08,0.46
36199,1.06,0.165
36217,0.83,-0.504
36237,1.0,0.604
36243,1.03,0.134
36253,1.01,0.448
36268,0.96,0.032
36291,0.81,-0.362
36301,1.02,-0.039
36334,0.91,-0.223
36337,0.91,-0.313
36356,0.94,-0.319
36373,0.91,-0.317
36387,0.98,0.227
36405,1.0,0.261
36416,1.0,0.236
36427,1.03,0.035
36440,0.52,-1.375
36459,0.9,-0.298
36470,0.99,0.374
36487,0.81,-0.517
36495,0.85,-0.35
36513,0.52,-1.301
36522,0.89,-0.213
36540,1.0,0.018
36560,1.05,0.332
36567,0.94,-0.123
36575,1.09,0.332
36599,0.72,-0.692
36607,0.94,-0.176
36616,0.99,-0.222
36643,1.0,0.376
36670,1.02,0.36
36693,0.81,-0.494
36707,0.87,-0.215
36730,1.12,0.344
36738,0.92,-0.264
36753,0.96,-0.125
36764,0.67,-0.865
36779,1.11,0.416
36795,0.87,-0.457
36838,1.01,0.16
36868,1.3,0.563
36894,1.16,0.451
36914,0.87,-0.28
36924,0.99,-0.117
36943,1.07,0.318
36949,0.85,-0.334
36986,0.96,-0.136
37000,1.04,0.146
37008,1.0,0.451
37025,1.01,0.476
37042,0.83,-0.466
37063,1.1,0.179
37078,1.08,-0.046
37080,0.96,-0.038
37107,0.96,0.054
37124,1.04,0.355
37132,0.98,0.475
37148,1.01,0.095
37156,1.3,0.753
37165,0.93,-0.267
37186,0.81,-0.437
37198,0.63,-0.968
37207,0.86,-0.413
37225,0.54,-1.234
37232,0.28,-1.965
37240,0.85,-0.498
37259,0.87,-0.384
37278,1.01,0.11
37297,0.94,-0.231
37320,0.98,0.857
37327,0.74,-0.683
37340,0.72,-0.583
37359,0.68,-0.895
37373,1.15,0.336
37381,1.1,0.496
37409,1.17,0.342
37413,1.24,0.415
37432,0.85,-0.424
37449,1.24,0.403
37465,1.03,0.274
37467,0.99,0.11
37482,1.11,0.506
37494,0.99,-0.022
37523,1.06,0.47
37541,1.08,0.222
37567,1.21,0.605
37577,1.18,0.517
37610,0.73,-0.745
37615,0.73,-0.77
37634,0.91,-0.358
37641,0.69,-0.798
37656,0.94,-0.226
37672,1.08,0.241
37686,1.02,0.05
37700,1.15,0.541
37717,1.01,0.407
37743,1.01,0.001
37752,0.71,-0.902
37753,0.68,-0.889
37791,0.99,-0.032
37800,0.99,0.323
37810,1.43,0.752
37839,1.15,0.669
37873,0.78,-0.374
37879,0.99,0.086
37900,1.0,-0.124
37908,0.87,-0.398
37923,0.91,-0.185
37955,1.11,0.689
37971,0.85,-0.364
37998,1.01,-0.005
38018,0.98,0.335
38030,1.1,0.122
38043,1.19,0.12
38064,1.17,0.349
38067,0.98,0.232
38083,0.82,-0.543
38095,0.98,0.04
38126,0.35,-1.781
38132,0.63,-1.102
38159,1.03,0.012
38166,1.02,0.07
38188,0.68,-0.793
38195,0.69,-0.745
38217,1.06,0.33
38227,1.06,0.049
38233,0.99,-0.271
38248,1.03,-0.099
38265,1.08,0.437
38323,0.88,-0.362
38326,0.74,-0.612
38351,1.0,-0.047
38353,0.62,-0.921
38373,0.74,-0.605
38389,0.96,-0.217
38405,0.76,-0.507
38418,1.0,0.594
38428,1.26,0.573
38430,1.1,0.605
38455,0.96,-0.212
38471,1.04,0.173
38489,0.99,-0.273
38505,1.2,0.827
38526,1.27,0.51
38544,0.99,0.333
38547,0.93,-0.022
38563,0.99,-0.071
38584,0.98,-0.113
38603,0.8,-0.556
38611,0.97,-0.157
38626,0.81,-0.427
38643,0.84,-0.103
38656,1.06,0.215
38668,1.0,0.208
38687,0.91,-0.298
38713,0.74,-0.705
38738,1.0,0.068
38750,0.98,-0.11
38773,1.01,0.326
38795,1.02,0.043
38810,1.05,0.309
38812,1.0,-0.146
38834,1.1,0.134
38844,1.03,0.138
38863,1.07,0.135
38874,0.84,-0.338
38896,0.83,-0.174
38910,1.0,0.033
38931,1.47,0.666
38942,1.08,0.12
38954,0.92,-0.273
38973,1.12,0.296
38990,1.16,0.417
39014,1.05,0.042
39026,1.27,0.446
39045,1.05,-0.043
39049,1.09,0.383
39067,1.03,0.327
39080,1.03,0.588
39087,0.74,-0.735
39100,1.01,0.06
39117,1.03,-0.123
39126,0.66,-0.854
39147,0.92,0.481
39160,1.0,0.288
39175,0.63,-0.875
39185,1.0,0.048
39221,1.03,0.037
39224,1.02,-0.038
39232,0.74,-0.608
39253,0.64,-0.984
39255,0.99,0.108
39283,0.98,0.365
39286,1.1,0.154
39303,0.93,-0.215
39314,1.16,0.096
39355,0.92,0.264
39367,1.11,0.273
39373,1.31,1.225
39400,1.15,0.494
39406,1.14,0.707
39426,1.03,0.552
39448,0.95,-0.282
39461,1.04,0.245
39475,1.19,0.506
39485,0.88,-0.278
39497,1.03,0.764
39515,1.02,-0.018
39530,1.04,0.167
39546,1.07,0.558
39570,0.92,-0.183
39585,0.98,-0.03
39603,0.98,-0.133
39612,1.1,0.333
39631,1.13,0.314
39645,0.69,-0.684
39664,1.02,0.173
39675,0.98,-0.086
39690,0.73,-0.719
39704,1.05,0.461
39705,1.0,-0.106
39726,1.06,0.378
39751,0.89,-0.322
39764,0.91,-0.211
39775,0.79,-0.478
39792,0.77,-0.639
39825,1.01,0.281
39846,1.0,0.391
39863,0.76,-0.613
39877,0.97,-0.057
39881,0.91,-0.206
39903,0.76,-0.585
39908,0.99,0.407
39916,1.03,0.009
39922,0.95,-0.078
39946,1.01,0.024
39956,1.06,0.134
39961,0.96,0.142
39988,0.96,-0.109
40001,0.85,-0.442
40013,1.0,0.281
40028,1.04,0.355
40057,0.75,-0.642
40062,1.0,0.097
40097,0.81,-0.572
40115,0.89,-0.409
40122,1.08,0.052
40132,0.78,-0.468
40145,0.96,-0.282
40165,1.48,0.738
40169,1.03,-0.052
40186,0.71,-0.629
40201,0.98,-0.194
40211,0.95,-0.261
40233,0.93,-0.225
40243,0.93,-0.306
40257,1.12,0.148
40264,0.99,0.233
40302,0.7,-0.763
40318,0.89,-0.389
40338,1.05,-0.025
40353,0.67,-0.821
40357,1.48,0.618
40361,0.67,-0.775
40371,0.97,-0.299
40390,1.09,0.191
40395,0.88,-0.344
40414,0.53,-1.354
40438,0.77,-0.512
40452,0.82,-0.36
40467,0.88,-0.476
40491,0.88,-0.32
40501,0.97,-0.133
40515,1.04,0.262
40533,1.0,-0.081
40537,1.33,0.511
40571,0.99,-0.108
40584,0.95,-0.283
40600,0.97,-0.047
40605,1.01,-0.145
40623,0.62,-1.047
40642,0.82,-0.427
40645,0.77,-0.585
40656,0.84,-0.413
40668,0.97,-0.05
40682,0.69,-0.831
40701,0.77,-0.57
40710,0.57,-1.229
40718,0.59,-1.139
40734,0.88,-0.419
40743,1.05,0.242
40759,1.18,0.496
40773,1.05,0.193
40780,1.15,0.538
40794,0.53,-1.097
40796,0.62,-1.172
40797,0.59,-1.199
40799,0.61,0.072
40800,0.21,-2.257
40801,0.21,-1.886
40806,0.27,-1.948
40808,0.29,-1.91
40809,0.31,-1.947
40812,0.18,-2.356
40814,0.18,-2.376
40816,0.18,-2.42
40817,0.19,-2.488
40818,0.15,-2.526
40820,0.23,-2.082
40822,0.24,-2.146
40824,0.32,-1.78
40826,0.34,-1.839
40832,0.5,-1.417
40833,0.5,-1.387
40835,0.44,-1.398
40836,0.11,-2.721
40837,0.11,-2.943
40838,0.16,-2.583
40839,0.15,-2.565
40843,0.27,-2.064
40845,0.26,-2.048
40846,0.59,-1.125
40847,0.59,-1.168
40850,0.14,-2.638
40852,0.14,-2.698
40855,0.14,-2.697
40856,0.13,-2.82
40858,0.12,-2.841
40859,0.43,-1.699
40860,0.43,-1.631
40862,0.25,-2.046
40864,0.3,-2.0
40874,0.38,-1.777
40876,0.38,-1.783
40878,0.36,-1.809
40881,0.14,-2.673
40882,0.93,-0.142
40885,0.77,-0.149
40891,0.03,-4.66
40893,0.59,-1.464
40895,1.89,1.152
40898,1.9,1.083
40900,1.72,1.176
40901,1.75,1.087
40905,2.0,1.134
40999,1.66,1.02
41003,1.1,0.74
41012,1.04,0.009
41017,0.99,0.011
41024,1.16,0.302
41028,0.56,-1.172
41032,0.85,-0.386
41038,1.06,0.398
41041,1.3,0.517
41042,1.06,0.531
41046,0.89,-0.309
41050,1.0,-0.086
41053,0.96,0.117
41055,1.03,0.241
41056,1.02,0.27
41062,1.34,0.678
41065,1.19,0.645
41066,0.74,-0.539
41068,1.23,0.371
41069,1.01,0.283
41070,1.26,0.446
41071,1.07,0.432
41073,0.91,-0.259
41074,0.91,-0.292
41075,0.99,0.142
41076,0.96,0.101
41077,1.03,0.531
41078,1.07,0.514
41081,0.95,-0.13
41085,0.95,-0.187
41091,0.86,-0.342
41092,0.83,-0.499
41097,0.77,-0.592
41098,0.74,-0.581
41100,0.87,-0.196
41103,1.21,0.418
41113,0.47,1.974
41115,0.46,1.375
41413,1.14,0.188
41416,1.14,0.277
41428,0.78,-0.339
41434,0.85,-0.397
41440,0.73,-0.574
41451,0.78,-0.529
41457,1.3,0.371
41458,1.19,0.31
41466,1.08,0.241
41473,1.25,0.529
41488,1.79,0.898
41493,0.02,-2.77
41494,0.2,-2.475
41497,0.64,-0.439
41501,0.76,-0.456
41525,1.05,-0.051
41528,0.94,-0.102
41536,0.97,-0.058
41537,0.62,-1.087
41546,0.88,0.007
41550,1.17,0.249
41554,0.68,-0.654
41555,0.88,-0.334
41564,0.84,-0.438
41566,0.8,-0.51
41570,1.12,0.315
41571,1.16,0.3
41573,0.7,-0.683
41585,1.15,0.279
41587,1.19,0.601
41591,0.85,-0.39
41592,0.9,-0.318
41593,0.99,0.036
41594,1.13,0.056
41597,0.8,-0.508
41601,0.82,-0.514
41602,1.41,0.563
41604,1.17,0.502
41606,1.04,0.247
41607,1.03,0.228
41610,0.72,-0.821
41611,0.66,-0.766
41614,0.44,-1.358
41619,0.48,-0.79
41626,0.16,-2.108
41628,0.17,-2.441
41633,0.18,-2.402
41636,0.56,-1.298
41639,0.49,-1.222
41643,0.18,-2.415
41644,0.18,-2.445
41645,0.1,-3.078
41646,0.1,-3.04
41652,0.69,-0.543
41654,1.04,-0.25
41655,1.04,0.317
41660,1.03,0.032
41661,1.13,0.367
41665,1.09,0.671
41671,1.09,0.671
41677,1.03,0.078
41678,1.02,0.088
41680,1.27,0.408
41681,1.16,0.334
41684,1.11,0.624
41685,1.32,0.61
41686,1.06,0.13
41687,1.13,0.097
41691,1.0,0.048
41692,1.08,0.067
41693,0.56,-1.385
41694,0.54,-1.322
41695,1.01,0.114
41696,1.02,0.129
41697,1.09,0.384
41700,0.89,-0.274
41704,0.75,-0.623
41706,0.74,-0.638
41710,0.57,-1.144
41711,1.33,0.692
41712,1.35,0.671
41715,0.68,-0.854
41716,0.66,-0.797
41722,1.12,0.231
41723,1.16,0.227
41726,1.03,-0.021
41728,1.04,-0.027
41733,0.94,-0.169
41735,0.83,-0.397
41737,0.92,-0.181
41739,0.85,-0.463
41740,0.84,-0.403
41741,0.75,-0.634
41743,0.78,-0.577
41745,1.16,0.672
41746,1.47,0.642
41748,1.46,0.653
41750,0.73,-0.701
41751,0.71,-0.739
41752,0.92,-0.147
41754,1.01,-0.135
41755,0.98,-0.151
41757,0.99,0.326
41758,1.23,0.304
41759,0.46,-1.571
41760,0.48,-1.499
41761,0.44,-1.593
41763,0.51,-1.469
41766,0.32,-1.894
41767,0.31,-1.854
41769,1.01,-0.017
41772,0.4,-1.697
41774,0.4,-1.71
41776,0.17,-2.6
41777,0.44,-1.816
41780,0.46,-1.501
41781,0.48,-1.487
41782,0.64,-1.097
41783,0.61,-1.078
41784,0.63,-1.054
41788,0.75,-0.629
41789,0.73,-0.679
41792,0.89,-0.301
41793,0.87,-0.316
41797,0.9,-0.3
41798,0.89,-0.289
41800,1.01,-0.101
41801,0.95,-0.099
41806,0.86,-0.285
41807,0.91,-0.294
41809,0.87,-0.293
41812,0.75,-0.59
41814,0.66,-0.857
41818,0.66,-0.86
41819,0.68,-0.889
41821,0.43,-1.538
41822,0.43,-1.533
41825,0.44,-1.58
41832,0.87,-0.288
41833,0.9,-0.22
41834,0.97,-0.221
41837,0.88,-0.426
41840,0.82,-0.438
41842,1.01,0.033
41843,1.06,0.029
41844,0.55,-1.226
41846,0.54,-1.212
41847,0.96,-0.242
41849,0.88,-0.243
41852,1.13,0.189
41853,1.18,0.049
41854,0.89,-0.167
41855,0.96,-0.155
41859,1.16,0.368
41860,1.02,0.381
41862,1.16,0.402
41863,0.96,0.403
41864,1.17,0.39
41865,1.44,0.334
41866,1.22,0.321
41867,1.02,0.332
41870,0.97,-0.222
41872,0.91,-0.2
41876,1.46,0.713
41878,1.42,0.769
41880,1.02,0.348
41890,0.93,-0.236
41891,0.91,-0.26
41892,0.94,-0.253
41895,1.03,0.026
41896,1.04,0.01
41897,1.04,0.017
41900,0.69,-0.778
41901,1.31,0.471
41903,1.38,0.575
41906,0.71,-0.647
41907,0.79,-0.622
41909,0.6,-1.013
41912,0.65,-0.882
